Filename,Component,Volume,Centerline Length
colon_0407-prone.mha,2,1169261.0,17220
colon_0511-prone.mha,1,1583014.0,35917
colon_0542-prone.mha,1,1240344.0,17797
colon_0819-supine.mha,1,2887419.0,21058
colon_0658-prone.mha,1,2619802.0,28445
colon_0412-prone.mha,1,1955588.0,70954
colon_0762-prone.mha,1,1655972.0,4294
colon_0726-prone.mha,1,1889949.0,53225
colon_0221-supine.mha,1,1820995.0,51933
colon_0061-prone.mha,1,1360001.0,47964
colon_0459-prone.mha,1,1940547.0,108780
colon_0542-supine.mha,1,1204568.0,17695
colon_0461-prone.mha,1,1899183.0,2407
colon_0441-prone.mha,1,2556975.0,26690
colon_0286-prone.mha,1,2092223.0,185719
colon_0713-prone.mha,1,1937367.0,5014
colon_0713-prone.mha,2,248.0,4
colon_0713-prone.mha,3,225.0,1
colon_0004-supine.mha,1,1705149.0,16116
colon_0559-supine.mha,1,1928579.0,9992
colon_0666-prone.mha,1,1383101.0,29314
colon_0003-prone.mha,1,1885210.0,23116
colon_0137-supine.mha,1,1346388.0,7573
colon_0464-supine.mha,1,1832218.0,90614
colon_0464-supine.mha,2,344.0,47
colon_0357-supine.mha,1,1698067.0,34577
colon_0700-prone.mha,1,1749449.0,7537
colon_0587-supine.mha,1,1325166.0,7291
colon_0458-supine.mha,1,2721076.0,17893
colon_0173-supine.mha,1,1851218.0,40703
colon_0775-supine.mha,1,2537228.0,26052
colon_0145-supine.mha,1,1390929.0,19238
colon_0192-supine.mha,1,1975822.0,103500
colon_0062-prone.mha,1,1567571.0,26874
colon_0552-supine.mha,1,2579699.0,62516
colon_0552-supine.mha,2,1350.0,23
colon_0043-prone.mha,1,2261452.0,54700
colon_0043-prone.mha,2,149.0,16
colon_0481-prone.mha,1,1825942.0,93302
colon_0012-prone.mha,1,1631254.0,57179
colon_0012-prone.mha,2,300.0,2
colon_0006-supine.mha,1,2228885.0,22153
colon_0791-prone.mha,1,1859033.0,11258
colon_0523-supine.mha,1,1703912.0,17104
colon_0074-supine.mha,1,1309315.0,43578
colon_0074-supine.mha,2,333.0,42
colon_0074-supine.mha,3,101.0,5
colon_0074-supine.mha,4,130.0,2
colon_0074-supine.mha,5,158.0,3
colon_0353-supine.mha,1,2836082.0,5407
colon_0807-prone.mha,1,1406994.0,17420
colon_0604-prone.mha,1,112.0,52
colon_0604-prone.mha,2,2131474.0,19995
colon_0065-prone.mha,1,1731421.0,62352
colon_0296-supine.mha,1,36179.0,8534
colon_0296-supine.mha,2,1032701.0,201378
colon_0450-supine.mha,1,1808642.0,5866
colon_0134-prone.mha,1,3182140.0,35833
colon_0303-prone.mha,1,1654769.0,13706
colon_0120-prone.mha,1,1187694.0,21590
colon_0420-supine.mha,1,2083334.0,9544
colon_0629-prone.mha,1,1409017.0,59961
colon_0746-prone.mha,1,1951138.0,197632
colon_0218-supine.mha,1,1976784.0,17110
colon_0115-supine.mha,1,1068358.0,30528
colon_0041-prone.mha,1,2076292.0,38056
colon_0141-prone.mha,1,1098866.0,17963
colon_0209-supine.mha,1,1702003.0,92738
colon_0325-supine.mha,1,1593843.0,42913
colon_0793-supine.mha,1,101.0,15
colon_0793-supine.mha,2,120.0,21
colon_0793-supine.mha,3,2128901.0,120027
colon_0793-supine.mha,4,970.0,173
colon_0714-supine.mha,1,1359757.0,9436
colon_0703-prone.mha,1,1364852.0,4685
colon_0628-supine.mha,1,1625462.0,239066
colon_0628-supine.mha,2,13172.0,414
colon_0197-prone.mha,1,1666250.0,10750
colon_0502-supine.mha,1,2103.0,91
colon_0502-supine.mha,2,1931045.0,14406
colon_0052-prone.mha,1,1028523.0,4501
colon_0113-supine.mha,1,2505443.0,39565
